N07muVerworworworworworwor,SubjVertMo,QGVertMotion,CombVerMo,AreaMesoALS,SatContMoist,RaosContrAM,AMInstability,Lifted_Index,K_Index,TotalTotals,SWEAT_Index,MorningCIN,MorningSFC,AMDewpoint,AMTempDiff,WindFieldMT,WindFieldPln,CldShadeOth,CldShadeConv,CompPlFcst,CapChange,LoLevlRel,MidLevRel,MvmtFeatures,LargeScale,Boundaries,InitCapCh,ScenRelAMCIN,ScenRelSFC,AreaPrecipA,Outflow,IRWindspr,ConvInhibit,CurPropConv,CldPrecip,ScenPrecip,Visibility,InsChange,R5FcstH,Hail,PlainsFcst,CombMoisture,AreaMoDryAir,VISCloudCov,MorningBound,WindAloft,MountainFcst,Date,ScenRel34,LatestCIN,SfcWndShift,TempDis,MtVerWorRel,CapInScen,Scenario
0,3,3,3,1,2,0,0,0,2,1,1,2,3,2,0,2,1,1,3,2,1,1,2,1,2,3,1,1,2,1,1,1,1,2,1,0,1,1,2,2,3,0,2,1,0,1,0,1,0,1,2,1,3,3,1
1,0,2,0,1,0,1,2,0,1,2,2,2,2,2,0,2,1,2,3,3,1,1,2,1,1,1,3,0,2,3,1,2,3,2,0,1,3,2,0,2,1,2,3,2,3,2,3,2,0,0,0,2,2,0,1
3,3,3,3,3,2,0,0,2,3,0,1,0,1,0,1,1,0,1,0,3,3,1,0,2,0,0,1,3,0,2,0,0,1,0,3,1,2,1,1,3,0,1,0,0,3,1,1,2,0,1,2,3,2,0,1
3,2,0,0,1,0,3,3,3,3,0,0,3,2,1,1,1,2,2,1,1,1,2,1,2,1,1,1,3,2,1,1,1,2,3,3,0,3,3,0,1,0,0,0,2,0,2,2,3,0,3,1,3,1,0,2
2,1,1,2,2,1,0,0,1,0,3,2,3,0,3,1,0,0,2,0,2,0,0,0,1,3,3,2,1,0,1,0,1,3,2,0,1,0,0,0,2,1,0,2,1,0,2,1,2,2,0,3,2,1,2,0
1,3,2,3,0,0,1,2,0,2,2,2,0,0,2,3,0,1,0,2,2,1,0,2,2,3,0,3,1,1,1,2,2,3,0,0,2,2,2,3,0,3,2,3,1,3,2,0,3,0,1,2,2,3,2,3
0,3,0,3,1,1,1,2,3,2,3,2,1,3,3,1,0,0,0,3,3,0,1,2,2,0,0,3,2,3,0,2,1,1,0,1,3,2,2,1,2,0,1,3,1,3,2,2,0,1,0,1,3,1,1,1
0,1,3,0,2,1,1,2,1,2,0,3,0,1,1,2,2,2,1,2,0,1,0,2,3,2,3,0,1,0,0,1,2,0,1,1,3,0,1,1,1,1,1,2,0,3,0,2,0,0,0,0,0,1,1,3
0,0,1,3,2,3,1,3,2,1,1,2,1,1,0,1,0,2,0,3,3,0,1,1,0,1,2,3,0,2,2,3,1,1,0,3,1,2,2,3,2,3,2,3,2,0,1,1,0,0,2,1,1,1,1,1
1,2,2,2,1,2,3,1,2,0,3,3,0,0,1,1,3,3,3,1,1,3,2,0,1,2,1,2,1,2,3,0,3,2,1,0,2,2,2,1,3,1,3,1,2,0,1,1,1,1,1,0,3,0,1,0
2,0,2,2,1,2,1,0,0,1,2,3,1,0,2,2,2,2,0,0,1,0,2,0,2,3,0,0,1,2,1,2,3,1,1,1,3,1,1,0,3,3,0,0,1,1,0,3,2,0,2,1,2,1,2,2
1,1,3,2,1,1,3,2,2,1,0,2,1,1,3,3,1,1,1,2,1,3,1,1,3,0,0,1,2,1,1,1,1,3,2,2,0,3,3,3,3,1,3,2,0,2,3,2,1,2,1,1,0,0,0,2
0,3,1,3,2,3,1,0,0,1,2,1,3,1,1,2,0,1,1,0,2,1,2,3,0,1,0,3,0,1,0,0,3,0,0,1,2,2,3,2,3,1,1,3,3,1,2,1,3,3,0,0,2,3,0,0
3,2,3,2,0,2,3,2,1,2,0,0,2,1,1,0,1,1,3,1,3,2,3,3,1,1,0,2,2,2,0,2,0,0,0,2,3,3,1,0,2,1,2,1,0,1,2,0,0,1,3,3,2,1,1,2
0,3,1,2,2,1,1,3,0,1,1,1,2,0,1,1,1,3,0,1,1,3,0,1,3,3,1,1,0,2,2,1,2,0,1,2,2,1,3,0,1,1,0,1,1,0,3,3,2,3,3,1,0,2,2,2
1,0,3,2,0,1,1,2,3,1,2,2,1,1,1,0,3,1,1,1,1,3,2,0,1,2,2,2,2,0,2,0,2,0,1,1,0,1,3,2,2,2,0,1,3,1,2,3,1,3,0,0,2,0,0,0
1,1,0,1,0,3,1,0,1,1,0,0,0,2,2,0,0,0,3,1,3,0,3,0,1,1,3,1,1,3,3,0,2,1,1,0,2,2,3,3,2,3,1,0,1,3,3,0,1,0,3,2,0,0,2,1
2,3,3,0,0,3,2,1,2,1,1,1,1,0,0,0,3,1,0,2,3,0,0,1,2,0,2,0,3,1,3,2,3,0,1,3,3,1,3,3,2,0,0,0,2,0,1,0,1,2,2,2,3,2,0,0
0,1,2,0,1,0,3,3,3,3,3,3,3,0,1,2,1,1,1,2,2,3,0,2,2,2,1,3,2,1,1,3,1,0,0,2,1,0,0,3,1,0,1,0,1,1,1,2,3,1,3,0,2,3,1,0
1,1,1,3,2,3,1,1,0,2,2,3,1,3,0,1,2,1,2,2,0,2,2,0,2,3,0,3,1,1,1,2,3,0,1,2,2,3,1,0,0,0,1,1,3,1,3,0,0,0,2,1,1,3,2,0
3,2,1,2,3,3,3,0,0,3,3,3,1,3,0,1,2,3,0,0,1,2,0,2,2,0,0,0,0,0,2,2,0,2,0,3,2,0,2,0,1,3,3,0,1,0,0,2,0,0,0,1,0,1,0,1
1,0,1,2,0,2,1,1,2,1,0,1,1,1,0,1,3,2,1,1,3,2,1,2,2,0,0,1,2,0,3,2,2,3,3,3,2,1,3,1,0,0,1,2,0,2,2,0,2,2,2,1,1,0,2,1
3,3,0,2,3,0,0,2,2,1,3,2,2,1,2,0,1,2,1,1,1,1,2,0,1,1,2,1,3,3,1,2,1,2,2,1,2,2,2,3,3,3,0,0,2,3,1,0,0,1,1,1,0,3,0,0
0,1,1,3,1,0,2,2,0,0,2,1,3,1,2,1,0,3,1,2,1,3,2,0,0,2,1,2,1,1,3,3,1,2,0,1,1,0,3,0,2,0,2,1,0,2,3,1,3,1,0,2,1,1,1,3
0,0,3,1,1,2,0,2,2,2,3,2,1,0,2,0,2,2,1,2,2,2,0,1,2,0,2,1,2,0,0,3,1,3,2,1,3,1,2,3,1,0,3,1,2,2,2,0,0,0,1,3,0,1,2,0
2,1,0,2,3,2,0,1,0,3,0,2,3,2,3,3,1,0,2,0,3,3,1,0,3,1,1,3,1,1,1,0,1,1,1,1,0,1,0,2,2,0,2,0,0,2,3,2,1,0,2,1,0,1,1,1
2,1,0,1,2,2,2,0,0,1,0,2,1,2,2,3,0,1,3,2,1,1,0,2,2,0,1,0,0,1,0,1,1,1,1,1,0,2,2,0,0,2,3,1,1,1,0,0,0,0,1,0,2,1,1,2
0,3,1,3,1,0,1,3,0,1,0,1,1,1,1,0,1,1,3,0,1,2,0,0,1,3,3,1,0,2,1,1,2,1,0,1,3,1,0,2,1,0,0,1,2,3,0,2,3,0,2,2,3,0,1,1
3,1,1,3,1,0,1,2,2,1,1,1,3,2,1,1,0,2,2,1,0,1,3,2,0,2,1,3,3,0,3,2,1,3,0,1,1,1,2,1,3,2,3,3,0,1,2,2,1,3,0,1,2,1,2,0
1,2,2,2,2,3,3,1,1,0,1,0,2,3,1,3,0,1,3,1,2,3,0,1,0,2,2,3,2,0,1,0,0,3,0,0,2,3,1,1,1,3,1,3,3,2,2,0,1,0,0,3,2,1,0,0
0,3,2,2,1,3,3,2,1,0,3,2,3,1,0,3,0,3,1,2,1,2,0,1,0,2,0,0,1,2,1,1,3,0,2,2,2,3,3,0,2,0,2,0,1,3,1,0,3,3,0,3,1,2,3,2
0,0,1,1,2,1,3,1,3,1,1,1,1,1,3,3,3,3,0,1,0,3,1,0,0,1,0,0,1,3,2,0,0,0,3,0,2,2,0,1,1,0,1,1,1,3,2,2,2,1,2,1,2,3,1,1
0,1,3,1,3,2,3,0,2,3,3,2,2,2,1,2,1,1,1,2,1,0,1,0,1,2,0,2,3,2,3,1,3,3,2,0,0,1,3,2,1,2,2,0,2,1,2,1,1,0,0,1,0,2,2,0
3,1,0,0,2,2,2,3,3,2,3,0,2,2,1,1,1,3,0,1,2,0,3,1,1,3,0,2,0,0,0,2,1,0,2,1,3,1,2,2,0,2,0,1,1,2,1,3,1,3,2,0,3,1,2,3
1,0,1,1,1,0,0,2,2,2,3,1,0,1,0,0,0,1,1,0,1,2,3,2,2,1,0,1,0,1,0,0,1,0,1,1,1,2,3,1,1,1,2,2,1,0,0,1,1,0,1,3,1,2,1,2
0,0,3,0,3,2,2,2,2,1,2,0,1,1,0,3,1,2,0,2,0,1,2,3,0,1,1,1,0,1,3,0,0,1,1,0,3,3,3,1,1,0,2,1,1,0,2,2,0,1,3,0,3,2,3,0
1,0,3,1,3,0,1,1,0,1,0,0,1,1,0,0,2,1,1,1,2,3,3,0,2,2,2,0,1,2,1,3,2,0,1,2,0,1,1,1,3,1,3,3,3,3,0,0,2,0,3,1,0,2,2,0
2,2,2,0,1,1,2,1,0,0,0,2,3,1,2,0,0,2,3,1,1,3,1,0,1,1,1,3,3,3,2,0,1,0,0,0,1,0,2,2,1,2,0,3,2,1,1,2,0,1,1,1,0,0,1,2
1,3,0,0,2,3,2,3,3,0,3,1,3,2,1,0,1,0,1,0,1,1,1,3,3,1,1,2,3,3,0,0,3,1,0,2,0,1,1,1,0,0,1,1,0,1,2,2,1,3,0,3,1,3,3,3
3,0,3,3,0,1,2,0,2,2,2,1,1,0,1,0,1,0,1,0,2,0,0,1,0,2,2,3,2,1,0,3,1,0,1,3,0,3,3,1,0,1,1,3,1,0,2,0,1,2,3,2,0,2,3,0
3,3,1,0,3,2,1,1,0,1,0,3,2,0,3,2,2,3,1,1,1,2,1,0,0,1,2,0,0,1,1,1,1,2,0,2,0,0,0,0,3,1,0,1,1,0,3,0,3,0,2,1,0,2,2,2
2,3,0,0,2,1,1,0,0,0,0,2,0,2,0,0,3,3,3,0,2,2,3,0,3,0,2,3,2,3,1,3,1,1,1,0,2,1,0,0,0,0,0,1,0,0,1,2,0,3,0,1,1,1,0,2
3,1,1,1,0,3,1,2,0,1,0,0,1,2,0,1,2,2,2,2,2,1,0,2,0,1,1,2,3,2,1,0,3,3,3,1,2,2,0,3,1,3,2,0,1,2,1,1,0,0,1,3,2,2,0,1
3,2,3,2,1,0,1,2,1,2,2,2,0,3,1,3,2,0,1,0,1,3,0,0,0,1,1,1,0,0,1,2,3,2,0,0,3,3,2,0,2,2,1,0,2,0,0,3,1,0,0,1,1,2,1,2
3,1,3,1,0,3,2,2,0,1,1,0,1,2,2,1,1,0,1,2,3,3,3,2,0,3,2,0,1,3,2,0,0,1,3,3,1,1,3,0,3,3,2,3,0,2,2,1,1,1,1,3,1,0,1,3
3,0,2,1,0,2,0,3,0,3,0,2,3,1,1,0,1,0,3,3,2,1,1,3,2,2,0,2,1,0,2,1,2,1,3,1,2,1,1,1,0,0,0,0,0,2,1,3,2,2,0,0,2,0,1,0
2,2,0,1,0,0,2,1,3,0,2,0,2,1,2,0,2,1,2,2,1,2,0,2,1,3,2,1,0,2,3,2,0,3,1,1,1,3,3,1,0,3,0,0,0,1,1,1,2,3,2,1,2,1,1,1
0,0,1,2,2,1,3,2,2,0,3,0,2,2,2,3,1,2,2,2,1,0,2,0,0,0,1,0,2,0,3,3,1,0,2,2,3,2,3,0,2,3,2,2,1,1,2,3,3,1,3,0,1,3,2,1
3,2,1,2,0,0,0,2,2,2,2,2,0,2,0,2,2,1,1,1,1,2,0,3,3,3,3,2,0,2,2,0,2,2,1,0,2,3,3,1,0,3,2,1,1,3,1,2,2,3,2,1,1,3,3,1
3,3,3,1,3,2,3,3,1,2,1,2,0,1,3,3,0,1,2,2,0,2,3,1,1,1,0,3,1,3,3,3,1,1,1,3,1,3,0,0,0,1,1,2,3,1,3,0,0,2,0,3,3,3,3,3
2,3,1,1,3,1,2,2,1,2,0,2,3,2,2,1,1,0,1,3,3,2,0,3,2,0,1,0,0,1,3,1,3,2,0,1,0,2,3,2,2,2,1,0,2,2,1,0,0,0,3,3,0,1,1,2
2,0,3,1,1,1,0,0,0,0,2,0,1,3,2,0,3,0,3,2,2,1,0,0,1,1,1,2,1,1,3,2,3,0,1,2,0,0,1,1,1,1,1,3,0,1,0,0,0,1,0,0,0,0,2,3
2,3,3,3,3,2,2,1,3,1,2,1,1,1,1,1,1,3,0,0,3,0,0,1,0,3,1,1,3,0,2,3,0,2,0,3,2,2,1,3,2,0,3,1,2,1,2,2,3,1,3,1,1,1,2,0
0,3,3,3,0,1,0,3,1,0,0,3,3,2,1,0,1,0,1,2,1,2,2,1,3,2,0,0,2,2,3,0,0,0,3,3,0,3,1,1,3,0,2,1,0,2,0,2,0,2,2,0,2,1,1,1
1,1,1,2,2,2,1,2,3,1,2,0,2,0,2,3,0,2,2,1,0,2,2,2,2,1,2,1,3,0,3,3,2,1,1,3,2,0,0,1,1,1,0,1,1,0,1,3,1,1,1,1,1,1,0,2
0,3,2,1,1,2,0,3,2,3,2,1,3,3,0,0,3,1,1,2,3,3,2,0,3,2,1,2,3,0,0,3,2,1,2,1,3,1,3,2,1,1,0,1,0,1,1,1,2,1,1,0,0,1,1,1
0,0,2,2,2,2,0,0,1,2,3,2,0,3,1,2,3,1,3,2,3,0,0,2,0,2,1,0,0,1,1,2,2,2,2,1,2,1,1,3,3,0,1,3,0,1,0,1,2,3,1,3,0,2,0,2
1,1,1,1,2,0,1,0,3,0,2,1,2,0,2,1,0,3,0,1,1,3,2,2,2,2,0,2,2,2,0,1,3,3,0,3,2,0,2,1,1,2,2,2,3,3,2,2,1,1,1,1,1,0,0,2
0,0,1,2,2,1,1,3,3,3,3,2,3,0,2,3,2,1,2,3,0,2,1,1,0,3,2,2,1,0,0,3,1,2,2,0,3,2,1,0,1,3,3,3,0,1,3,0,0,3,3,1,2,3,1,3
1,1,3,3,3,2,3,1,1,1,0,0,3,0,1,1,2,1,0,3,3,1,0,2,2,0,1,0,3,1,1,1,0,3,2,2,1,3,0,0,2,3,3,2,1,1,0,0,2,3,1,2,0,0,1,2
2,0,2,2,3,3,2,1,2,1,0,1,1,2,1,3,1,0,2,3,1,2,3,1,0,3,1,3,1,0,1,0,3,2,3,0,1,3,2,1,3,3,1,0,3,0,1,0,0,2,2,2,0,1,1,1
2,2,1,3,1,2,1,3,3,1,1,2,1,3,3,2,2,2,3,2,2,0,0,0,1,2,3,2,1,2,1,0,2,0,1,0,1,1,2,0,2,2,3,1,1,2,1,3,2,1,3,2,3,3,1,2
0,2,1,0,1,1,1,2,1,0,2,2,2,1,0,0,0,0,1,2,0,2,1,0,1,1,1,1,3,1,1,1,2,3,2,2,3,3,0,3,0,1,1,2,2,1,3,2,2,3,0,1,1,1,3,1
1,2,0,1,0,1,2,0,2,2,2,2,0,0,3,2,1,1,1,2,2,0,3,1,2,2,1,1,3,0,2,0,0,0,1,1,1,2,0,3,1,3,0,1,3,1,0,1,2,0,1,0,0,0,2,0
1,1,1,3,2,1,1,2,2,0,1,2,1,2,3,0,0,3,1,0,2,2,2,1,1,3,3,3,2,2,1,3,0,1,1,0,1,1,0,0,2,1,0,0,3,1,2,0,3,3,2,1,1,1,2,2
2,1,2,2,2,0,2,1,2,3,1,2,1,0,1,2,3,3,0,0,3,1,3,0,1,1,2,2,0,2,0,3,3,0,1,3,1,1,3,2,2,1,0,0,0,1,0,1,1,1,0,2,1,1,2,0
3,2,3,1,2,1,0,2,0,3,1,2,2,0,0,3,3,3,0,3,3,1,1,3,1,0,2,0,2,1,3,0,1,3,3,3,3,2,3,0,1,3,1,3,0,1,0,2,2,3,1,0,2,1,1,2
1,1,2,2,2,0,1,0,2,3,2,0,2,0,0,1,3,3,1,1,2,1,0,0,3,1,1,1,0,1,2,3,0,1,1,2,0,2,2,2,2,3,2,0,3,1,3,1,3,2,0,3,2,1,1,2
0,1,0,1,2,3,2,3,2,1,3,2,1,1,3,2,3,2,1,0,0,0,1,1,0,1,0,0,2,0,0,1,2,0,1,0,1,1,0,1,2,0,2,3,0,0,2,2,1,3,0,3,1,0,1,1
2,2,3,0,2,1,2,1,2,3,3,1,3,0,0,3,1,0,2,1,3,2,2,3,2,3,2,0,3,3,2,1,0,2,0,1,1,3,1,2,3,2,1,1,0,2,1,3,0,2,1,2,1,1,1,3
3,2,0,1,3,3,2,3,0,0,2,0,2,0,3,1,0,3,1,1,0,1,0,0,2,2,2,2,3,1,1,2,2,2,1,1,2,0,1,2,1,3,0,1,2,0,3,1,0,1,1,3,0,1,2,3
1,0,1,2,1,0,0,1,3,1,2,2,2,2,2,2,3,3,0,3,0,3,1,3,3,1,3,1,2,1,0,3,3,2,0,1,0,1,1,1,0,1,1,1,1,0,0,0,1,3,1,3,1,0,0,0
1,3,2,0,0,2,3,3,0,2,2,0,1,3,1,1,2,3,0,2,3,1,1,1,3,1,2,3,0,2,3,1,1,1,1,0,3,0,1,2,3,3,1,3,3,3,0,1,1,1,1,1,2,0,2,0
0,0,0,2,0,1,1,3,2,1,1,1,3,1,0,3,2,1,2,3,1,0,1,3,1,0,2,1,3,1,1,0,3,0,3,0,0,0,3,1,1,1,0,1,0,1,1,2,0,3,0,3,2,1,1,1
0,0,1,3,2,2,3,1,1,3,2,1,1,2,3,1,1,0,0,2,1,1,0,3,2,1,0,1,0,1,2,3,1,0,0,0,2,0,3,0,0,1,3,1,2,3,2,0,1,0,2,2,2,1,2,1
0,1,2,1,3,2,0,0,1,1,0,0,1,2,3,1,0,2,1,1,1,1,1,1,0,3,2,2,3,2,1,0,3,1,3,0,2,1,0,3,0,2,3,2,1,2,3,1,0,3,3,3,3,0,1,3
1,1,1,0,3,3,1,1,1,0,0,0,1,0,3,3,1,2,0,3,0,3,1,0,3,0,2,2,2,3,0,0,3,1,2,2,2,1,1,1,2,2,1,2,1,0,1,3,2,1,1,0,1,1,1,0
2,1,1,1,0,2,2,1,1,3,2,0,0,1,1,3,1,2,2,1,1,0,3,1,1,0,1,0,2,2,1,3,2,1,3,2,1,3,1,2,1,2,1,0,0,0,3,0,2,2,3,3,2,1,1,0
3,1,1,0,1,0,3,0,3,0,3,1,1,1,0,0,0,3,2,3,3,2,0,2,2,1,3,3,3,3,3,1,1,0,2,0,3,0,3,1,1,0,3,2,1,3,3,1,3,1,2,0,3,1,2,1
3,0,1,0,3,1,1,3,0,2,1,1,3,2,0,0,0,2,1,3,1,0,0,1,3,0,0,1,2,2,2,2,0,2,1,0,2,1,2,0,3,1,0,3,3,0,2,1,0,3,2,1,2,2,0,2
0,0,3,3,1,1,1,1,1,2,0,1,0,0,0,3,1,3,0,2,2,2,0,2,2,0,2,1,3,1,3,3,2,1,0,0,1,2,2,0,0,1,2,0,1,1,0,1,2,1,2,0,0,2,3,1
2,0,1,2,0,1,1,0,3,3,0,0,1,0,0,0,2,2,3,1,3,3,1,2,2,0,2,1,3,0,0,3,1,3,3,1,2,1,1,1,1,0,1,1,1,1,0,2,1,0,0,2,1,1,3,2
3,0,1,1,3,2,3,0,3,2,2,3,0,3,3,3,3,0,1,0,2,3,1,0,2,3,2,3,0,2,0,2,1,3,0,3,0,0,1,1,3,3,2,1,0,3,1,0,0,1,1,1,2,1,3,3
2,2,0,1,0,2,2,2,0,1,2,2,1,1,3,0,0,1,0,3,2,3,1,0,3,2,1,1,1,1,3,2,1,2,3,2,1,1,1,0,3,1,3,1,0,1,1,2,2,0,2,2,1,1,1,3
1,1,0,0,2,0,2,2,2,3,2,3,3,2,3,1,1,2,2,0,2,0,3,2,3,3,3,2,1,2,3,0,1,0,3,1,0,1,3,2,0,0,2,0,2,3,0,1,3,1,0,1,2,0,2,2
0,0,0,1,0,0,1,2,0,2,2,1,0,2,1,2,0,0,1,3,3,2,0,1,3,3,2,2,1,0,2,2,1,0,3,1,0,0,1,1,1,0,3,1,1,3,3,3,3,1,1,0,1,1,1,3
2,0,0,1,3,1,1,1,3,0,3,1,3,1,1,2,2,1,3,2,0,1,0,3,1,1,3,2,2,3,0,2,0,1,3,2,0,1,2,1,2,0,3,0,3,3,0,1,3,0,1,1,1,0,1,1
0,3,2,3,0,0,2,0,1,3,0,2,0,0,3,1,1,1,1,0,2,1,2,0,3,3,2,2,1,2,2,0,3,1,2,3,1,1,3,1,2,1,2,3,3,0,1,2,1,0,3,1,0,3,0,0
2,3,1,2,3,3,1,1,2,3,2,2,3,1,1,2,0,0,3,0,0,1,0,1,0,0,1,0,2,3,0,3,3,1,1,3,1,3,1,0,1,2,0,1,0,0,1,0,1,2,1,2,0,1,0,2
3,2,0,3,0,3,3,0,1,0,2,1,2,3,2,2,3,2,3,3,2,0,0,0,1,0,0,3,1,0,3,1,2,3,2,0,0,2,1,3,2,1,1,3,2,1,1,2,3,2,0,3,3,2,3,1
1,1,3,2,0,0,3,2,1,2,3,3,3,3,3,0,2,0,0,1,1,3,3,2,2,0,1,2,2,2,0,1,3,2,0,2,2,0,1,3,3,1,2,0,3,1,0,1,3,1,3,1,2,1,2,3
3,3,2,3,2,3,1,3,2,2,3,1,1,1,0,3,0,0,2,3,3,2,2,3,0,0,2,0,1,3,1,3,3,1,1,1,2,0,1,2,2,2,0,2,3,0,2,3,2,1,2,2,0,2,1,2
0,2,0,1,2,0,1,1,0,1,3,1,0,0,0,1,1,2,1,1,2,1,1,3,3,3,2,1,0,3,3,1,1,0,3,0,0,3,2,2,2,2,2,1,2,0,2,3,1,0,0,1,1,3,0,0
3,1,2,0,1,3,1,1,2,2,1,1,3,2,2,2,1,2,3,1,3,3,2,1,3,3,1,2,3,3,1,1,3,3,3,1,1,1,0,2,1,3,0,0,3,0,1,3,1,0,0,1,2,3,2,0
2,0,2,1,3,2,3,2,0,0,2,1,3,3,0,0,2,2,2,1,0,1,2,0,0,2,2,0,1,2,3,1,1,1,3,2,1,0,3,0,2,2,1,2,1,0,2,0,3,1,1,1,2,3,3,1
2,3,1,2,2,3,1,1,3,0,0,3,1,1,2,2,2,1,2,1,0,2,3,2,1,2,3,1,0,1,2,1,0,2,2,1,0,3,3,3,3,3,3,2,1,1,0,0,3,0,1,3,3,0,1,1
1,0,0,0,0,3,3,0,3,1,3,2,1,0,0,2,2,3,3,3,1,3,2,3,0,3,2,1,1,0,1,3,3,2,3,2,1,3,0,1,0,1,2,0,0,2,1,3,2,0,0,0,3,1,1,0
2,0,2,2,2,2,3,2,2,0,1,1,3,3,1,3,1,3,2,1,1,1,2,3,3,1,3,0,1,3,1,1,2,2,3,2,1,3,1,2,3,2,1,1,1,2,1,1,3,1,0,3,0,0,0,3
1,3,1,1,2,3,0,0,0,2,3,2,2,2,3,2,1,1,2,2,1,1,3,1,3,2,2,1,2,0,3,2,0,0,2,0,1,1,2,3,3,1,1,1,1,2,0,1,3,3,3,2,0,0,3,2
2,3,2,2,0,0,1,1,1,2,2,3,0,1,3,3,1,1,3,0,0,1,2,3,3,2,1,1,1,3,0,0,2,2,3,1,2,3,1,3,3,1,0,2,0,0,1,3,0,3,2,2,2,2,0,3
1,2,2,2,2,0,0,1,1,2,1,0,2,1,3,0,2,2,1,1,1,3,2,1,1,2,2,3,0,2,3,1,1,1,3,2,3,0,0,0,2,0,3,0,1,3,2,3,3,1,3,0,0,0,2,1
2,2,1,3,1,1,1,2,3,3,0,1,3,0,2,0,3,1,1,1,1,1,1,1,1,0,1,1,3,2,3,3,0,3,1,2,1,0,0,1,1,1,1,3,1,2,0,1,0,1,0,1,1,0,1,1
1,1,2,2,2,3,2,1,3,0,2,2,0,0,0,2,0,1,1,0,3,2,3,1,2,0,3,1,2,2,2,0,0,0,0,1,2,0,2,0,3,2,1,1,1,1,2,0,1,1,1,0,1,3,1,1
1,3,0,0,3,2,3,0,1,2,3,1,0,0,1,2,1,2,3,3,1,1,2,1,3,3,0,0,0,0,3,1,2,2,2,0,1,3,1,1,1,0,1,1,1,0,1,3,0,1,0,0,2,1,1,1
0,1,0,2,2,2,0,1,1,1,3,2,0,2,3,1,2,0,1,1,1,3,1,0,0,2,0,1,3,3,1,3,2,0,2,0,2,2,3,2,3,0,1,1,1,1,2,2,3,0,3,2,1,2,3,1
2,0,0,1,0,3,1,2,2,1,0,2,3,0,0,3,0,0,2,0,2,0,3,0,3,1,3,0,2,2,0,2,2,0,2,1,1,3,0,1,1,1,2,2,3,0,2,1,0,0,1,1,2,3,2,1
3,3,2,2,2,1,3,1,2,2,3,2,0,0,0,0,3,1,1,2,3,1,0,3,2,2,1,1,2,1,3,0,0,0,0,3,1,2,2,0,1,1,0,0,1,0,1,3,2,1,2,3,2,2,0,2
3,3,2,1,3,0,2,2,2,3,1,2,0,2,2,0,0,1,2,1,1,0,2,2,3,0,3,2,0,2,2,3,1,2,2,1,0,2,1,1,1,1,1,1,1,3,0,0,1,0,1,2,3,2,1,2
1,2,0,3,0,1,3,2,2,3,0,0,0,3,1,1,2,2,3,2,0,1,1,2,0,1,1,0,0,3,1,1,3,2,1,2,0,3,2,0,1,1,0,0,1,2,0,3,0,2,3,2,1,3,2,0
3,1,3,2,1,0,1,1,3,1,3,3,2,0,0,1,2,3,0,2,1,2,2,2,0,1,0,3,1,1,2,3,3,1,1,2,3,2,2,1,2,2,2,0,3,1,1,2,1,1,3,0,1,2,1,2
0,1,0,0,0,2,3,1,1,3,1,2,2,0,0,2,3,1,2,1,0,3,3,3,1,2,1,1,0,3,3,0,3,2,3,3,2,1,3,2,0,3,2,1,3,2,2,1,0,2,2,1,2,3,3,1
3,1,3,2,0,3,1,2,2,1,2,3,2,2,3,2,1,0,2,2,0,1,3,1,1,0,2,0,0,1,2,1,0,1,2,1,0,0,3,1,0,1,1,2,3,0,3,2,1,1,2,0,2,0,3,2
2,3,0,0,2,2,3,2,1,2,3,0,3,0,1,0,2,1,2,2,1,0,2,2,2,3,0,0,1,0,0,2,3,2,1,3,3,2,1,0,1,1,1,0,3,1,0,2,0,0,1,3,3,3,3,2
2,1,2,0,1,1,2,1,3,3,3,3,1,3,2,1,3,0,3,0,2,2,0,2,2,0,0,0,3,2,0,1,2,2,2,2,2,3,3,2,1,2,2,0,2,3,0,0,0,0,2,3,1,1,0,2
0,3,2,0,3,0,3,1,3,2,2,1,1,0,0,1,1,0,2,1,0,1,3,1,2,2,2,3,1,1,3,0,1,3,0,1,1,0,0,1,3,1,1,2,1,0,3,2,1,1,0,3,3,1,3,1
2,1,2,1,1,1,2,2,3,1,2,3,1,1,0,0,1,2,3,1,0,2,2,2,0,1,2,2,1,2,0,3,3,1,1,0,2,2,1,2,1,3,1,0,0,2,0,1,2,0,2,3,1,1,1,0
0,3,0,1,3,2,2,3,2,0,1,1,2,3,2,3,2,1,1,1,2,0,0,1,1,3,2,0,1,0,2,1,2,0,0,1,3,2,1,0,3,3,2,1,3,1,2,2,2,1,1,3,2,2,0,2
0,1,1,3,0,3,0,1,1,0,3,2,0,1,3,1,1,0,1,3,1,1,0,0,3,3,2,2,1,2,3,2,2,1,1,3,0,1,1,2,0,2,3,3,1,3,1,3,2,1,2,1,1,0,0,1
1,0,2,0,2,0,0,2,2,2,1,1,1,1,1,3,2,1,2,0,3,1,2,1,3,1,0,2,1,0,1,0,1,2,0,0,0,3,0,1,1,2,2,1,2,3,3,2,1,0,2,3,2,3,3,2
1,0,3,3,1,3,1,2,1,1,3,2,2,2,1,0,2,0,2,2,3,0,3,3,3,0,1,0,0,3,1,1,2,0,2,2,1,2,3,0,0,0,0,1,2,2,1,3,3,2,3,0,1,3,3,1
0,3,1,1,0,1,2,2,3,1,1,1,0,3,1,2,0,1,1,1,0,3,1,0,1,1,0,0,2,1,0,3,1,1,0,0,1,2,0,2,3,2,0,0,2,3,0,2,1,1,0,1,1,3,0,0
